scenario,scenario2,day(d),hourOfDay,int1.cpt,int2.cpt,int3.cpt,int4.cpt,int5.cpt,int6.cpt,int7.cpt,int8.cpt,int9.cpt,int10.cpt,trunk.cpt,root.cpt,S1.cpb,S2.cpb,S3.cpb,S4.cpb,S5.cpb,S6.cpb,S7.cpb,S8.cpb,S9.cpb,S10.cpb,trunk.cpb,root.cpb,int1.j (mg/hour),int2.j (mg/hour),int3.j (mg/hour),int4.j (mg/hour),int5.j (mg/hour),int6.j (mg/hour),int7.j (mg/hour),int8.j (mg/hour),int9.j (mg/hour),int10.j (mg/hour),trunk.j (mg/hour),root.j (mg/hour),int1.CNS (mg),int2.CNS (mg),int3.CNS (mg),int4.CNS (mg),int5.CNS (mg),int6.CNS (mg),int7.CNS (mg),int8.CNS (mg),int9.CNS (mg),int10.CNS (mg),trunk.CNS (mg),root.CNS (mg),int1.CS (mg),int2.CS (mg),int3.CS (mg),int4.CS (mg),int5.CS (mg),int6.CS (mg),int7.CS (mg),int8.CS (mg),int9.CS (mg),int10.CS (mg),trunk.CS (mg),root.CS (mg),int1.biomass (mg),int2.biomass (mg),int3.biomass (mg),int4.biomass (mg),int5.biomass (mg),int6.biomass (mg),int7.biomass (mg),int8.biomass (mg),int9.biomass (mg),int10.biomass (mg),trunk.biomass (mg),root.biomass (mg),sourceLoading_b,SYNTHESIS_RATE,SYNTHESIS_RATE,KM_ROOTS,KM_BERRY,KM_RESERVES,KM_SECONDARY,HYDROLYSIS_RATE,S13.cpb,S14.cpb,S15.cpb,S16.cpb,S13.cpt,S14.cpt,S15.cpt,S16.cpt,C1.Cflux,C1.carbon_nonStructure,C1.carbon_structure,C2.Cflux,C2.carbon_nonStructure,C2.carbon_structure,C3.Cflux,C4.carbon_nonStructure,C5.carbon_structure,C6.Cflux,C7.carbon_nonStructure,C8.carbon_structure
2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9858.307807213441,3668.519424291105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47375.52738387688,9178.30623785852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123267.42748233047,30590.86763788751,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,399.8026875617029,1921.3281652578994,0.0,399.8026875617029,1921.3339569000896,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9848.438360295073,3664.827570299803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47375.76988219004,9178.366898068136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123246.69343253097,30582.221037453724,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,399.40243316242004,1921.3551096034,0.0,399.40243317382874,1921.366290113486,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9838.809184956179,3661.225527397251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47376.00633158169,9178.426027809293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123226.4638400059,30573.78465087676,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,399.01192297889384,1921.3813819251857,0.0,399.01192300776484,1921.3978168984543,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9828.959142866359,3657.540995285973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47376.24802636343,9178.486504401826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123205.76985276795,30565.155048078235,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,398.6124556296086,1921.4082371524141,0.0,398.6124556903774,1921.430043169928,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9818.416522192583,3653.597587648091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47376.50688848291,9178.551326382165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123183.6211979101,30555.91935798697,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,398.18490084177347,1921.4369999677306,0.0,398.18490094352046,1921.4645585470219,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9806.678342505173,3649.2068350232544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47376.79673460673,9178.623859599738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123158.96433850811,30545.636811792843,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,397.70886034598107,1921.4692055988342,0.0,397.70886050756553,1921.5032053029063,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9793.203627190367,3644.1653602260735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47377.13431541592,9178.708009615479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123130.67022245614,30533.832427564772,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,397.1623948915908,1921.5067153052582,0.0,397.1623951439792,1921.5482169489385,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9777.43337581195,3638.261810266656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47377.54027160612,9178.808296012821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123097.57935694612,30520.013693492725,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,396.52283439608755,1921.5518226169233,0.0,396.5228347946936,1921.60234572092,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9758.850944480673,3631.298415476001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47378.04028500171,9178.929800278627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123058.63433195959,30503.721780381828,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,395.76922658514695,1921.6073812630243,0.0,395.76922722869085,1921.6690160937576,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9737.090010515229,3623.129532295057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47378.66699660383,9179.077961522973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123013.11648025755,30484.622833328653,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,394.88671546672003,1921.6770183356057,0.0,394.88671656102406,1921.752580577742,0.0,0.0,0.0,0.0,0.0,0.0
