day(d),hourOfDay,scenario,age(dd),age(days),Ta (degree),rh,cca (ppm),wind (m/s),soil water content,LAI per vine(m2),hourlyabsRad(J/m2),assimilatedCO2(umolco2/m2/s),biomBerry(kg/vine),freshWeightBerry(kg/vine),biomBerry(t/ha),freshWeightBerry(t/ha),berrySugarConcentration(gsugar/gh20),sourceLoading_b,SYNTHESIS_RATE,SYNTHESIS_RATE,KM_ROOTS,KM_BERRY,KM_RESERVES,KM_SECONDARY,HYDROLYSIS_RATE
1,0,2,0.26134490966796875,0.0833333358168602,16.272278,0.6,400.0,3.1111112,0.32999998,0.0,0.0,0.0,0.202925866187737,1.3361887804361756,1.014629330938685,6.6809439021808785,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,1,2,0.4862678050994873,0.1666666716337204,15.3981495,0.65,400.0,2.074074,0.32999998,0.0,0.0,0.0,0.2030428633843559,1.3369591619769892,1.0152143169217795,6.684795809884945,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,2,2,0.6987678209940592,0.2500000074505806,15.1,0.7,400.0,1.037037,0.32999998,0.0,0.0,0.0,0.2031568884694002,1.3377099733062043,1.015784442347001,6.688549866531022,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,3,2,0.9236907164255778,0.3333333432674408,15.3981495,0.75,400.0,0.1,0.32999998,0.0,0.0,0.0,0.20327364880750023,1.3384787952247705,1.016368244037501,6.692393976123853,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,4,2,1.1850356260935464,0.416666679084301,16.272278,0.80333334,400.0,0.5,0.32999998,0.0,0.0,0.0,0.2033989846338455,1.3393040834351673,1.0169949231692277,6.696520417175837,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,5,2,1.5043195883433023,0.5000000149011612,17.662815,0.8566667,400.0,1.0,0.32999998,0.0,0.0,0.0,0.20353912862243428,1.3402268776984902,1.0176956431121715,6.701134388492451,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,6,2,1.8991112709045408,0.5833333507180214,19.475,0.91,400.0,1.5,0.32999998,0.0,0.0,0.0,0.2037007872575504,1.3412913376343318,1.018503936287752,6.706456688171659,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,7,2,2.381833473841349,0.6666666865348816,21.585333,0.81666666,400.0,1.0,0.32999998,0.0,0.0,0.0,0.2038908751803856,1.3425429934954616,1.0194543759019281,6.712714967477308,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,8,2,2.9589168230692544,0.7500000223517418,23.85,0.72333336,400.0,0.5,0.32999998,0.0,0.0,0.0,0.20411571789048624,1.3440234962635094,1.0205785894524313,6.720117481317547,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,9,2,3.630361239115397,0.833333358168602,26.114666,0.63,400.0,0.1,0.32999998,0.0,0.0,0.0,0.20437962120993194,1.345761198120782,1.0218981060496597,6.7288059906039095,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,10,2,4.389736255009969,0.9166666939854622,28.225,0.5833333,400.0,1.037037,0.32999998,0.0,0.0,0.0,0.20468298232468043,1.3477587143840493,1.0234149116234021,6.738793571920246,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,11,2,5.224618911743164,1.0000000298023224,30.037184,0.5366667,400.0,2.074074,0.32999998,0.0,0.0,0.0,0.20502054766795938,1.349981452336717,1.025102738339797,6.749907261683585,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,12,2,6.117440700531006,1.0833333656191826,31.427723,0.49,400.0,3.1111112,0.32999998,0.0,0.0,0.0,0.20538102456978616,1.3523550540902836,1.0269051228489308,6.761775270451418,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,13,2,7.0466844240824384,1.1666667014360428,32.30185,0.42333335,400.0,2.4074075,0.32999998,0.0,0.0,0.0,0.20575054030228646,1.3547881730673625,1.0287527015114324,6.7739408653368125,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,14,2,7.988351027170817,1.250000037252903,32.6,0.35666665,400.0,1.7037038,0.32999998,0.0,0.0,0.0,0.2061206741512895,1.357225362103875,1.0306033707564477,6.786126810519375,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,15,2,8.91759475072225,1.3333333730697632,32.30185,0.29,400.0,1.0,0.32999998,0.0,0.0,0.0,0.206488321267196,1.3596461769593822,1.03244160633598,6.798230884796911,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,16,2,9.810416539510092,1.4166667088866234,31.427723,0.27666667,400.0,1.8703704,0.32999998,0.0,0.0,0.0,0.20684473941038747,1.3619930533483973,1.0342236970519374,6.809965266741986,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,17,2,10.645299196243286,1.5000000447034836,30.037184,0.26333332,400.0,2.7407408,0.32999998,0.0,0.0,0.0,0.20717631163265451,1.3641763289042481,1.0358815581632725,6.820881644521241,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,18,2,11.404674212137857,1.5833333805203438,28.225,0.25,400.0,3.6111112,0.32999998,0.0,0.0,0.0,0.20747248689584852,1.366126529098818,1.0373624344792427,6.83063264549409,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,19,2,12.076118628184,1.666666716337204,26.114666,0.28333333,400.0,2.4074075,0.32999998,0.0,0.0,0.0,0.20772878188523058,1.3678141330289024,1.038643909426153,6.839070665144512,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,20,2,12.653201977411905,1.7500000521540642,23.85,0.31666666,400.0,1.2037038,0.32999998,0.0,0.0,0.0,0.20794616060492493,1.36924548829089,1.0397308030246246,6.84622744145445,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,21,2,13.135924180348713,1.8333333879709244,21.585333,0.35,400.0,0.1,0.32999998,0.0,0.0,0.0,0.20812923899892,1.370450989100581,1.0406461949946,6.852254945502905,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,22,2,13.530715862909952,1.9166667237877846,19.475,0.35,400.0,0.1,0.32999998,0.0,0.0,0.0,0.20828443366051974,1.3714728862569607,1.0414221683025988,6.857364431284804,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,23,2,13.849999825159708,2.0000000596046448,17.662815,0.35,400.0,0.1,0.32999998,0.0,0.0,0.0,0.2084186012949762,1.3723563285269196,1.042093006474881,6.861781642634598,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
2,0,2,14.278808673222859,2.083333395421505,20.291412,0.5,400.0,3.1111112,0.32999998,0.0,0.0,0.0,0.2085835957417186,1.3734427534993154,1.042917978708593,6.867213767496577,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
2,1,2,14.676814874013264,2.166666731238365,19.552149,0.58,400.0,3.2777777,0.32999998,0.0,0.0,0.0,0.20873909175174923,1.3744666349192103,1.0436954587587461,6.872333174596052,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
2,2,2,15.06431484222412,2.2500000670552254,19.3,0.66,400.0,3.4444444,0.32999998,0.0,0.0,0.0,0.2088913169543347,1.3754689793300803,1.0444565847716734,6.877344896650401,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
2,3,2,15.462321043014525,2.3333334028720856,19.552149,0.74,400.0,3.6111112,0.32999998,0.0,0.0,0.0,0.20904637785831967,1.3764899957440115,1.0452318892915984,6.882449978720058,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
2,4,2,15.891129891077675,2.4166667386889458,20.291412,0.74333334,400.0,3.7777777,0.32999998,0.0,0.0,0.0,0.20921043388744123,1.3775702415973052,1.0460521694372062,6.887851207986526,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
2,5,2,16.36893860499064,2.500000074505806,21.46741,0.74666667,400.0,3.9444444,0.32999998,0.0,0.0,0.0,0.20938980687805406,1.3787513437508787,1.0469490343902703,6.8937567187543936,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
2,6,2,16.910605271657307,2.583333410322666,23.0,0.75,400.0,4.111111,0.32999998,0.0,0.0,0.0,0.2095908944584692,1.3800754281265346,1.047954472292346,6.900377140632673,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
2,7,2,17.526636044184364,2.6666667461395264,24.784739,0.6933333,400.0,5.138889,0.32999998,0.0,0.0,0.0,0.20981974393220318,1.381582313892045,1.0490987196610158,6.907911569460225,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
2,8,2,18.222469409306843,2.7500000819563866,26.7,0.63666666,400.0,6.1666665,0.32999998,0.0,0.0,0.0,0.2100811522999866,1.3833035874522193,1.0504057614999331,6.916517937261096,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
2,9,2,18.99810528755188,2.8333334177732468,28.615261,0.58,400.0,7.1944447,0.32999998,0.0,0.0,0.0,0.2103772597951259,1.385253341420213,1.0518862989756295,6.926266707101065,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
