date,day,vine,treatment,scenario,replicate,Destructive harvest,berryDM,woodDM,totalRootDM,totalRootNSC
28/12/2015,0,9,25 leaves,1,1,1,227.44,115.61,306.00,36.72
28/12/2015,0,17,25 leaves,1,2,1,171.28,120.87,325.79,34.27
28/12/2015,0,24,25 leaves,1,3,1,247.71,116.63,358.75,50.39
28/12/2015,0,31,25 leaves,1,4,1,166.77,126.90,285.40,27.54
28/12/2015,0,9,100 leaves,0,1,1,227.44,115.61,306.00,36.72
28/12/2015,0,17,100 leaves,0,2,1,171.28,120.87,325.79,34.27
28/12/2015,0,24,100 leaves,0,3,1,247.71,116.63,358.75,50.39
28/12/2015,0,31,100 leaves,0,4,1,166.77,126.90,285.40,27.54
28/12/2015,0,9,No leaves,2,1,1,227.44,115.61,306.00,36.72
28/12/2015,0,17,No leaves,2,2,1,171.28,120.87,325.79,34.27
28/12/2015,0,24,No leaves,2,3,1,247.71,116.63,358.75,50.39
28/12/2015,0,31,No leaves,2,4,1,166.77,126.90,285.40,27.54
6/01/2016,9,5,25 leaves,1,1,2,315.54,103.46,253.74,19.05
6/01/2016,9,10,100 leaves,0,1,2,239.95,119.93,359.16,39.35
6/01/2016,9,11,No leaves,2,1,2,311.52,111.85,402.68,30.55
6/01/2016,9,12,100 leaves,0,2,2,420.70,131.13,485.94,57.70
6/01/2016,9,20,25 leaves,1,2,2,306.16,167.80,332.99,16.86
6/01/2016,9,21,25 leaves,1,3,2,254.75,126.93,337.69,27.60
6/01/2016,9,28,No leaves,2,2,2,198.20,112.48,302.80,24.84
6/01/2016,9,36,100 leaves,0,3,2,353.16,125.80,385.62,34.32
6/01/2016,9,37,No leaves,2,3,2,306.04,113.90,307.94,21.56
15/01/2016,18,1,25 leaves,1,1,3,377.98,122.65,377.93,28.28
15/01/2016,18,2,100 leaves,0,1,3,408.06,127.06,426.18,33.17
15/01/2016,18,14,No leaves,2,1,3,258.37,110.77,422.36,25.52
15/01/2016,18,19,25 leaves,1,2,3,349.22,109.06,219.05,10.05
15/01/2016,18,22,No leaves,2,2,3,304.18,124.29,342.37,28.16
15/01/2016,18,25,25 leaves,1,3,3,340.96,103.55,258.61,12.87
15/01/2016,18,26,100 leaves,0,2,3,475.29,131.16,318.54,21.81
15/01/2016,18,39,100 leaves,0,3,3,486.75,120.20,394.11,33.97
15/01/2016,18,40,No leaves,2,3,3,339.81,101.25,172.61,9.18
25/01/2016,28,4,No leaves,2,1,4,337.90,126.71,367.86,12.74
25/01/2016,28,7,25 leaves,1,1,4,356.74,105.34,303.41,12.20
25/01/2016,28,13,25 leaves,1,2,4,378.88,101.07,213.75,6.03
25/01/2016,28,16,100 leaves,0,1,4,459.97,113.56,367.04,29.31
25/01/2016,28,23,100 leaves,0,2,4,616.42,124.15,454.64,38.17
25/01/2016,28,30,No leaves,2,2,4,309.32,89.46,240.07,7.96
25/01/2016,28,32,No leaves,2,3,4,319.59,129.66,341.52,12.06
25/01/2016,28,35,25 leaves,1,3,4,359.47,93.75,281.58,6.46
25/01/2016,28,38,100 leaves,0,3,4,554.79,137.32,334.84,22.21
3/02/2016,37,3,100 leaves,0,1,5,579.61,123.72,376.62,36.45
3/02/2016,37,6,No leaves,2,1,5,315.72,89.05,256.01,6.73
3/02/2016,37,8,25 leaves,1,1,5,313.81,113.71,214.48,3.36
3/02/2016,37,15,100 leaves,0,2,5,661.34,147.75,372.80,45.80
3/02/2016,37,18,No leaves,2,2,5,286.41,104.22,200.96,4.70
3/02/2016,37,27,25 leaves,1,2,5,425.01,101.13,204.67,5.67
3/02/2016,37,29,100 leaves,0,3,5,483.76,110.93,365.52,45.49
3/02/2016,37,33,25 leaves,1,3,5,481.84,123.34,268.56,4.97
3/02/2016,37,34,No leaves,2,3,5,346.14,119.21,281.04,13.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
