day(d),hourOfDay),scenario,age(dd),age(days),cca (ppm),wind (m/s),soilNContent (g/m3),leafArea,incomingRadiation(umol/m2/s),Ta (degree),rh,soilWaterContent(kg/kg),leafNumber,totalBerryNum,Absorbed PAR(umol/plant/s),Co2 assimilation(umolco2/plant/s),carbonAssimilation(mg/plant/hour),waterFlux(mg/plant/s),WUE(mgC/mgH2o),waterFluxPotential(mg/s),phloemCconcentration(mgc/mgH2o),fraction_berryUnloading,fraction_fineRootUnloading,fraction_stemUnloading,fraction_leafLoading,fraction_stemLoading,leafLoading(mgC),woodLoading(mgC),internodeLoading(mgC),woodLeakage(mgC),internodeLeakage(mgC),fineRootUnloading(mgC),totalBerryUnloading(mgC),singleBerryActiveSucroseuptake(mgSucrose),singlePassiveUptake(mgSucrose),singleMassFlow(mgSucrose),sumBerryUnloadingSucrose(mgSucrose),maintenanceLeaf(mgC),maintenanceWood(mgC),maintenanceInternode(mgC),maintenanceRoot(mgC),sumMaintenanceBerry(mgC),sumGrowthCostBerry(mgC),growthCostRoot(mgC),NuptakeCostRoot(mgC),soilAvailableWater(kg),soilWaterPotential[MPa],rootConductance[mg/MPa/s],xylemWaterPotential[MPa],singleBerryFreshWeight[g],singleBerryDryWeight[g],sugarConcentration[g/gh20],waterUptake[g],respirationWater[g],transpirationLost[g],waterBalance[g],osmoticWaterPotential_fruit[MPa],turgorPressure_fruit[MPa],waterPotential_fruit[MPa],osmoticWaterPotential_phloem[MPa],turgorPressure_phloem[MPa],waterPotential_phloem[MPa],rootNitrogenUptake(mg),plantNitrogenCommonPool(mg),plantNitrogenContent(mg/mg),meanLeafNcontent(mg/mg),leafNDegradation(mg),leafNSynthesis(mg),wholePlantNitrogenAmount(mg),plantBiomass(g/plant),berryBiomass(g/plant),rootBiomass(g/plant),leafBiomass(gr/plant),internodeBiomass(g/plant),woodBiomass(g/plant),woodStructuralC(gr/plant),woodNonstructuralC(gr/plant),woodNonstructuralCcontent(mg/mg),berryLphloem(g/cm2/bar/h),Vmax_berry),inputWaterPotential,scenario2,rt.carbon_structure,rt.carbon_nonStructure,rt.fc_nstrTostr,sourceLoading_b,SYNTHESIS_RATE,SYNTHESIS_RATE,KM_ROOTS,KM_BERRY,KM_RESERVES,KM_SECONDARY,HYDROLYSIS_RATE,RootLoading,RootLeakage,fraction_fineRootLoading,stemLoading,stemUnloading,structuralRootLoading,fraction_structuralRootLoading,structuralRootUnloading,fraction_structuralRootUnloading
1,0,2,0.26134490966796875,0.0833333358168602,400.0,3.1111112,15.0,0.0,0.0,16.272278,0.6,0.32999998,1,1560,0.0,0.0,0.0,0.0,NaN,0.0,0.013818956,0.8622265,0.0075910334,0.06582814,0.0,0.36915123,0.0,10.631601,8.2077055,0.0,0.0,0.4760643,54.0737,0.0,0.0,0.0,12.842504778215964,0.0,0.8957182765007019,1.060306839644909,0.3774443566799164,0.0,168.7097859287769,0.019567534188936076,0.0,1.7405454,-0.01,0.0,0.0,133.61887804361757,20.2925866187737,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38017.722845914024,Infinity,NaN,NaN,NaN,49158.440307213175,782077.199182812,3.1656433621687062E7,30590.86763788751,0.0,99984.00811608073,123267.42748233047,47375.52738387688,9858.307807213441,0.2080886135015033,0.0,0.0023,-0.01,0,9178.30623785852,3668.519424291105,0.3996945982428936,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.9563031,0.0,0.06308488,23.150942,4.128348,35.606724,0.5677638,4.0359187,0.064354315
1,1,2,0.4862678050994873,0.1666666716337204,400.0,2.074074,15.0,0.0,0.0,15.3981495,0.65,0.32999998,1,1560,0.0,0.0,0.0,0.0,NaN,0.0,0.013859205,0.8596481,0.0077505517,0.06679647,0.0,0.3691525,0.0,9.912916,7.6528673,0.0,0.0,0.45320866,50.267384,0.0,0.0,0.0,11.938504465735525,0.0,0.8579558730125427,1.015619020909071,0.3614679276943207,0.004833325829167734,156.834088638259,0.018198068116311136,0.0,1.7405454,-0.01,0.0,0.0,133.69591619769892,20.30428633843559,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38017.722845914024,Infinity,NaN,NaN,NaN,49158.440307213175,782063.9186695205,3.1674685183492698E7,30582.221037453724,0.0,99969.09260124703,123246.69343253097,47375.76988219004,9848.438360295073,0.20787922570515088,0.0,0.0023,-0.01,0,9178.366898068136,3664.827570299803,0.39928972234387106,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.6888406,0.0,0.06308475,21.585957,3.9058814,33.199562,0.56776273,3.8478975,0.065804854
1,2,2,0.6987678209940592,0.2500000074505806,400.0,1.037037,15.0,0.0,0.0,15.1,0.7,0.32999998,1,1560,0.0,0.0,0.0,0.0,NaN,0.0,0.013884276,0.8587,0.0078084334,0.06715924,0.0,0.3691539,0.0,9.671807,7.466742,0.0,0.0,0.4454862,48.99049,0.0,0.0,0.0,11.63524205511594,0.0,0.8452151417732239,1.000549253076315,0.35604143142700195,0.009192950856231619,152.85018228514164,0.017738927581331467,0.0,1.7405454,-0.01,0.0,0.0,133.77099733062042,20.315688846940027,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38017.722845914024,Infinity,NaN,NaN,NaN,49158.440307213175,782050.8331455105,3.1692473095914744E7,30573.78465087676,0.0,99954.53878121673,123226.4638400059,47376.00633158169,9838.809184956179,0.20767493815529683,0.0,0.0023,-0.01,0,9178.426027809293,3661.225527397251,0.39889470332977256,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.5990992,0.0,0.06308462,21.06094,3.8315644,32.391888,0.5677615,3.7843895,0.06633237
1,3,2,0.9236907164255778,0.3333333432674408,400.0,0.1,15.0,0.0,0.0,15.3981495,0.75,0.32999998,1,1560,0.0,0.0,0.0,0.0,NaN,0.0,0.013835747,0.8596086,0.007753879,0.06680149,0.0,0.36915487,0.0,9.893394,7.63779,0.0,0.0,0.4525072,50.16574,0.0,0.0,0.0,11.914364259342403,0.0,0.8571596741676331,1.0147014260292053,0.3610149621963501,0.013703681106562726,156.51696288100266,0.018142982851176163,0.0,1.7405454,-0.01,0.0,0.0,133.84787952247706,20.327364880750025,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38017.722845914024,Infinity,NaN,NaN,NaN,49158.440307213175,782037.5670714009,3.1710687707793195E7,30565.155048078235,0.0,99939.64946085968,123205.76985276795,47376.24802636343,9828.959142866359,0.20746596770172354,0.0,0.0023,-0.01,0,9178.486504401826,3657.540995285973,0.398490643695111,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.6815376,0.0,0.06308451,21.543442,3.898456,33.133835,0.5677605,3.842113,0.065836035
1,4,2,1.1850356260935464,0.416666679084301,400.0,0.5,15.0,0.0,0.0,16.272278,0.80333334,0.32999998,1,1560,0.0,0.0,0.0,0.0,NaN,0.0,0.013771213,0.86214966,0.007597613,0.06583664,0.0,0.36915606,0.0,10.588762,8.17462,0.0,0.0,0.47455016,53.850235,0.0,0.0,0.0,12.789431286071412,0.0,0.894016683101654,1.058345614001155,0.3764762282371521,0.01897307694889605,168.0125685515727,0.019446599598993006,0.0,1.7405454,-0.01,0.0,0.0,133.9304083435167,20.33989846338455,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38017.722845914024,Infinity,NaN,NaN,NaN,49158.440307213175,782023.7423037867,3.1730240095774364E7,30555.91935798697,0.0,99923.71507862196,123183.6211979101,47376.50688848291,9818.416522192583,0.2072423056706912,0.0,0.0023,-0.01,0,9178.551326382165,3653.597587648091,0.39805819652023455,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.9402783,0.0,0.0630844,23.057644,4.1121845,35.4625,0.5677596,4.023457,0.0644161
1,5,2,1.5043195883433023,0.5000000149011612,400.0,1.0,15.0,0.0,355.44278,17.662815,0.8566667,0.32999998,1,1560,0.0,0.0,0.0,0.0,NaN,0.0,0.0138269495,0.8657466,0.0073678917,0.064549774,0.0,0.3691574,0.0,11.790664,9.102502,0.0,0.0,0.5124361,60.212585,0.0,0.0,0.0,14.300490097086573,0.0,0.956393301486969,1.1322027165442705,0.4026723802089691,0.0256857079511974,187.86308937556217,0.021759971555043636,0.0,1.7405454,-0.01,0.0,0.0,134.022687769849,20.35391286224343,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38017.722845914024,Infinity,NaN,NaN,NaN,49158.440307213175,782008.9732437984,3.1752102556955803E7,30545.636811792843,0.0,99905.98986169604,123158.96433850811,47376.79673460673,9806.678342505173,0.20699327557833416,0.0,0.0023,-0.01,0,9178.623859599738,3649.2068350232544,0.39757668369933497,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,4.387504,0.0,0.06308427,25.674858,4.48943,39.487534,0.5677583,4.335447,0.062335778
1,6,2,1.8991112709045408,0.5833333507180214,400.0,1.5,15.0,0.0,1076.4646,19.475,0.91,0.32999998,1,1560,0.0,0.0,0.0,0.0,NaN,0.0,0.014153334,0.8696625,0.007101798,0.06329592,0.0,0.36915874,0.0,13.539569,10.45266,0.0,0.0,0.56719154,69.45638,0.0,0.0,0.0,16.49589129996107,0.0,1.0447359085083008,1.2368032895028591,0.43978092074394226,0.03468471149972174,216.70369900437856,0.025245011715187546,0.0,1.7405454,-0.01,0.0,0.0,134.12913376343315,20.37007872575504,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38017.722845914024,Infinity,NaN,NaN,NaN,49158.440307213175,781992.8690727238,3.1777321302836094E7,30533.832427564772,0.0,99885.69014235714,123130.67022245614,47377.13431541592,9793.203627190367,0.20670738677420983,0.0,0.0023,-0.01,0,9178.708009615479,3644.1653602260735,0.397023781169256,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,5.0382695,0.0,0.063084126,29.483189,5.0551863,45.344425,0.5677571,4.787149,0.05993983
1,7,2,2.381833473841349,0.6666666865348816,400.0,1.0,15.0,0.0,1770.7363,21.585333,0.81666666,0.32999998,1,1560,0.0,0.0,0.0,0.0,NaN,0.0,0.014886709,0.8731353,0.0068371347,0.062445223,0.0,0.36916038,0.0,15.8574,12.242037,0.0,0.0,0.6395298,81.67107,0.0,0.0,0.0,19.39687859174246,0.0,1.1584227085113525,1.3714144565165043,0.48752692341804504,0.047029956986079924,254.81347224804713,0.030085927740322527,0.0,1.7405454,-0.01,0.0,0.0,134.25429934954622,20.38908751803856,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38017.722845914024,Infinity,NaN,NaN,NaN,49158.440307213175,781975.0469084168,3.1806975017389912E7,30520.013693492725,0.0,99862.0384503547,123097.57935694612,47377.54027160612,9777.43337581195,0.2063727521471112,0.0,0.0023,-0.01,0,9178.808296012821,3638.261810266656,0.3963762716176433,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,5.9007235,0.0,0.063083954,34.530388,5.8409824,53.10651,0.5677556,5.3861237,0.057582386
1,8,2,2.9589168230692544,0.7500000223517418,400.0,0.5,15.0,0.0,2391.789,23.85,0.72333336,0.32999998,1,1560,0.0,0.0,0.0,0.0,NaN,0.0,0.016163886,0.875405,0.00660777,0.062396236,0.0,0.3691628,0.0,18.708199,14.442895,0.0,0.0,0.72918695,96.60353,0.0,0.0,0.0,22.943339176933563,0.0,1.2945806980133057,1.5326391346752644,0.5446847081184387,0.06400204685633071,301.40271760673585,0.0364512900466079,0.0,1.7405454,-0.01,0.0,0.0,134.4023496263509,20.411571789048626,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38017.722845914024,Infinity,NaN,NaN,NaN,49158.440307213175,781955.1578347224,3.1842050478499614E7,30503.721780381828,0.0,99834.38000577649,123058.63433195959,47378.04028500171,9758.850944480673,0.20597835802782236,0.0,0.0023,-0.01,0,9178.929800278627,3631.298415476001,0.3956123964871997,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,6.961471,0.0,0.06308372,40.738182,6.885609,62.653236,0.5677535,6.1346326,0.055591013
1,9,2,3.630361239115397,0.833333358168602,400.0,0.1,15.0,0.0,2898.0552,26.114666,0.63,0.32999998,1,1560,0.0,0.0,0.0,0.0,NaN,0.0,0.01815707,0.8756421,0.00644247,0.06364591,0.0,0.3691658,0.0,21.952549,16.947538,0.0,0.0,0.8342292,113.38605,0.0,0.0,0.0,26.92918721784887,0.0,1.4468717575073242,1.7129789851605892,0.6085680723190308,0.0869949693151284,353.76412072399216,0.044448386329066475,0.0,1.7405454,-0.01,0.0,0.0,134.57611981207822,20.437962120993195,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38017.722845914024,Infinity,NaN,NaN,NaN,49158.440307213175,781932.9254402521,3.188321939437772E7,30484.622833328653,0.0,99802.38964740877,123013.11648025755,47378.66699660383,9737.090010515229,0.20551633525724133,0.0,0.0023,-0.01,0,9179.077961522973,3623.129532295057,0.394716064890456,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,8.168611,0.0,0.06308342,47.80292,8.2414465,73.517494,0.56775075,7.0273137,0.054269567
