scenario,berryDM,structuralRootNSC,woodDM,structuralRootDM,leafDM,internodeDM,leafNSC,day
0,203301.296,33048.67824,120003.9709,275401.2599,83066.1488,94515.99066,2837.762251,0
0,337939.7923,38875.01319,125621.2636,354186.9577,82185.98696,110723.7752,2415.419768,9
0,456700.3257,26321.29464,126140.6306,327744.2076,86918.49894,101478.0288,2084.62361,18
0,543728.273,26541.75973,125009.9674,332835.5671,91288.2476,104154.7157,3828.780972,28
0,574902.6217,37798.08327,127466.6129,320869.9788,103707.5787,113409.6009,5340.429893,37
1,203301.296,33048.67824,120003.9709,275401.2599,83066.1488,94515.99066,2837.762251,0
1,292150.9723,18793.24884,132730.8307,266038.6513,20849.11248,79325.89653,588.1020679,9
1,356051.871,15150.51902,111756.9998,246230.7836,30131.77574,80454.10528,757.8742283,18
1,365027.1537,7304.650767,100055.3668,229869.6721,24532.29341,79653.69474,716.8478446,28
1,406886.413,4144.291849,112725.3268,197915.9133,23596.86148,85292.57805,714.6504667,37
2,203301.296,33048.67824,120003.9709,275401.2599,83066.1488,94515.99066,2837.762251,0
2,271917.274,22772.55418,112744.9687,291653.7699,0,118378.3836,0,9
2,300789.945,18601.10968,112106.4306,269754.4291,0,84242.46001,0,18
2,322269.9933,9696.808222,115274.4644,273242.0483,0,90132.6381,0,28
2,316088.7317,7233.581413,104162.4796,212391.9762,0,110151.536,0,37
