doy.july1st,hour,temp,RH,total.radiation.umol.m2.s,co2.ppm,wind.m.s,swp,year
1,0,0.076571711,0.92,0,400,2.111111111,-0.01,2015
1,1,-0.427925423,0.93,0,400,1.407407407,-0.01,2015
1,2,-0.6,0.94,0,400,0.703703704,-0.01,2015
1,3,-0.427925423,0.95,0,400,0.1,-0.01,2015
1,4,0.076571711,0.96,0,400,0.5,-0.01,2015
1,5,0.879110755,0.97,0,400,1,-0.01,2015
1,6,1.925,0.98,0,400,1.5,-0.01,2015
1,7,3.142963822,0.956666667,253.42749,400,1.166666667,-0.01,2015
1,8,4.45,0.933333333,713.4133357,400,0.833333333,-0.01,2015
1,9,5.757036178,0.91,1086.865598,400,0.5,-0.01,2015
1,10,6.975,0.84,1349.92927,400,2.231481481,-0.01,2015
1,11,8.020889245,0.77,1485.800633,400,3.962962963,-0.01,2015
1,12,8.823428289,0.7,1485.800633,400,5.694444444,-0.01,2015
1,13,9.327925423,0.693333333,1349.92927,400,5.333333333,-0.01,2015
1,14,9.5,0.686666667,1086.865598,400,4.972222222,-0.01,2015
1,15,9.327925423,0.68,713.4133357,400,4.611111111,-0.01,2015
1,16,8.823428289,0.73,253.42749,400,3.574074074,-0.01,2015
1,17,8.020889245,0.78,0,400,2.537037037,-0.01,2015
1,18,6.975,0.83,0,400,1.5,-0.01,2015
1,19,5.757036178,0.84,0,400,1,-0.01,2015
1,20,4.45,0.85,0,400,0.5,-0.01,2015
1,21,3.142963822,0.93,0,400,0.1,-0.01,2015
1,22,1.925,0.93,0,400,0.1,-0.01,2015
1,23,0.879110755,0.93,0,400,0.1,-0.01,2015
2,0,3.336379332,0.97,0,400,1.5,-0.01,2015
2,1,2.861852325,0.96,0,400,1,-0.01,2015
2,2,2.7,0.95,0,400,0.5,-0.01,2015
2,3,2.861852325,0.94,0,400,0.1,-0.01,2015
2,4,3.336379332,0.936666667,0,400,0.166666667,-0.01,2015
2,5,4.091242789,0.933333333,0,400,0.333333333,-0.01,2015
2,6,5.075,0.93,0,400,0.5,-0.01,2015
2,7,6.220609536,0.896666667,136.6983326,400,1.037037037,-0.01,2015
2,8,7.45,0.863333333,384.8549639,400,1.574074074,-0.01,2015
2,9,8.679390464,0.83,586.3618564,400,2.111111111,-0.01,2015
2,10,9.825,0.863333333,728.3216032,400,2.944444444,-0.01,2015
2,11,10.80875721,0.896666667,801.6481003,400,3.777777778,-0.01,2015
2,12,11.56362067,0.93,801.6481003,400,4.611111111,-0.01,2015
2,13,12.03814767,0.876666667,728.3216032,400,6.509259259,-0.01,2015
2,14,12.2,0.823333333,586.3618564,400,8.407407407,-0.01,2015
2,15,12.03814767,0.77,384.8549639,400,10.30555556,-0.01,2015
2,16,11.56362067,0.733333333,136.6983326,400,8.407407407,-0.01,2015
2,17,10.80875721,0.696666667,0,400,6.509259259,-0.01,2015
2,18,9.825,0.66,0,400,4.611111111,-0.01,2015
2,19,8.679390464,0.68,0,400,4.111111111,-0.01,2015
2,20,7.45,0.7,0,400,3.611111111,-0.01,2015
2,21,6.220609536,0.93,0,400,0.1,-0.01,2015
2,22,5.075,0.93,0,400,0.1,-0.01,2015
2,23,4.091242789,0.93,0,400,0.1,-0.01,2015
3,0,-2.635382907,0.95,0,400,3.111111111,-0.01,2015
3,1,-3.354665949,0.956666667,0,400,2.777777778,-0.01,2015
3,2,-3.6,0.963333333,0,400,2.444444444,-0.01,2015
3,3,-3.354665949,0.97,0,400,2.111111111,-0.01,2015
3,4,-2.635382907,0.976666667,0,400,1.907407407,-0.01,2015
3,5,-1.491168825,0.983333333,0,400,1.703703704,-0.01,2015
3,6,-2.66E-15,0.99,0,400,1.5,-0.01,2015
3,7,1.736502875,0.99,299.0736508,400,1.703703704,-0.01,2015
3,8,3.6,0.99,842.0974138,400,1.907407407,-0.01,2015
3,9,5.463497125,0.99,1283.121647,400,2.111111111,-0.01,2015
3,10,7.2,0.956666667,1593.857576,400,1.740740741,-0.01,2015
3,11,8.691168825,0.923333333,1754.373558,400,1.37037037,-0.01,2015
3,12,9.835382907,0.89,1754.373558,400,1,-0.01,2015
3,13,10.55466595,0.873333333,1593.857576,400,1,-0.01,2015
3,14,10.8,0.856666667,1283.121647,400,1,-0.01,2015
3,15,10.55466595,0.84,842.0974138,400,1,-0.01,2015
3,16,9.835382907,0.863333333,299.0736508,400,1.166666667,-0.01,2015
3,17,8.691168825,0.886666667,0,400,1.333333333,-0.01,2015
3,18,7.2,0.91,0,400,1.5,-0.01,2015
3,19,5.463497125,0.91,0,400,1.87037037,-0.01,2015
3,20,3.6,0.91,0,400,2.240740741,-0.01,2015
3,21,1.736502875,0.91,0,400,2.111111111,-0.01,2015
3,22,2.22E-15,0.91,0,400,2.111111111,-0.01,2015
3,23,-1.491168825,0.91,0,400,2.111111111,-0.01,2015
4,0,0.050257739,0.92,0,400,0.1,-0.01,2015
4,1,-0.509184627,0.92,0,400,0.333333333,-0.01,2015
4,2,-0.7,0.92,0,400,0.666666667,-0.01,2015
4,3,-0.509184627,0.92,0,400,1,-0.01,2015
4,4,0.050257739,0.94,0,400,0.666666667,-0.01,2015
4,5,0.940202025,0.96,0,400,0.333333333,-0.01,2015
4,6,2.1,0.98,0,400,0.1,-0.01,2015
4,7,3.450613347,0.966666667,257.9597034,400,0.1,-0.01,2015
4,8,4.9,0.953333333,726.424134,400,0.1,-0.01,2015
4,9,6.349386653,0.94,1106.969115,400,0.1,-0.01,2015
4,10,7.7,0.863333333,1375.128422,400,0.87037037,-0.01,2015
4,11,8.859797975,0.786666667,1513.661398,400,1.740740741,-0.01,2015
4,12,9.749742261,0.71,1513.661398,400,2.611111111,-0.01,2015
4,13,10.30918463,0.643333333,1375.128422,400,2.944444444,-0.01,2015
4,14,10.5,0.576666667,1106.969115,400,3.277777778,-0.01,2015
4,15,10.30918463,0.51,726.424134,400,3.611111111,-0.01,2015
4,16,9.749742261,0.603333333,257.9597034,400,3.111111111,-0.01,2015
4,17,8.859797975,0.696666667,0,400,2.611111111,-0.01,2015
4,18,7.7,0.79,0,400,2.111111111,-0.01,2015
4,19,6.349386653,0.83,0,400,1.407407407,-0.01,2015
4,20,4.9,0.87,0,400,0.703703704,-0.01,2015
4,21,3.450613347,0.73,0,400,4.111111111,-0.01,2015
4,22,2.1,0.73,0,400,4.111111111,-0.01,2015
4,23,0.940202025,0.73,0,400,4.111111111,-0.01,2015
5,0,-1.209068935,0.79,0,400,0.1,-0.01,2015
5,1,-1.873406745,0.78,0,400,0.5,-0.01,2015
5,2,-2.1,0.77,0,400,1,-0.01,2015
5,3,-1.873406745,0.76,0,400,1.5,-0.01,2015
5,4,-1.209068935,0.806666667,0,400,1.5,-0.01,2015
5,5,-0.152260095,0.853333333,0,400,1.5,-0.01,2015
5,6,1.225,0.9,0,400,1.5,-0.01,2015
