leafDM,internodeDM,woodDM,rootDM,berryDM,leafNSC,intNSC,trunkNSC,fineRootNSC,berrySugar,KM_BERRY,KM_ROOTS,KM_SECONDARY,HYDROLYSIS_RATE,day,hourOfDay,scenario,structuralRootDM,structuralRootNSC,cordonDM,cordonNSC
81131.61974198568,100022.27151560252,123279.4444556513,30592.86007709861,203271.33401600702,4458.5379218258395,7612.235920551211,9860.268141018973,3668.9716705354617,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,0,0,275344.0065679763,33020.74316184356,50002.67975111612,3998.8218868766444
81589.66648621466,100043.17283176909,123270.00905236749,30586.093642381198,203708.74795612265,4659.769309940232,7606.055764794328,9852.262597787008,3665.7122706110345,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,1,0,275290.8957476892,32991.408652053615,50005.229295577636,3995.5753390174823
81147.66652264286,100066.80228343322,123262.11858857045,30579.763578253405,204140.6433326884,4465.587673815383,7600.285669463665,9844.78765492402,3662.6345234355645,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,2,0,275242.5405100653,32963.70910956844,50008.73451284798,3992.5440714005845
80709.94247661057,100087.68207389815,123252.6936468364,30573.00729250924,204578.89192992242,4273.284555184137,7594.113710733109,9836.791759061442,3659.3795918916107,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,3,0,275189.5037399664,32934.41498826577,50011.28115154602,3989.3016115259843
80272.42139960386,100103.5398646972,123240.18347249823,30565.33297517076,205036.417003985,4081.0706059210406,7587.0831750808065,9827.683523285017,3655.738179002026,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,4,0,275126.7058407491,32901.642585114976,50012.01384576287,3985.608094722079
80255.03889361373,100151.58555640682,123239.55104744351,30559.850071439676,205596.16176815925,4073.4340363931924,7582.10338727662,9821.229228186236,3652.8629115038307,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,5,0,275093.54151629965,32875.76587315037,50022.5987384832,3982.9912930317687
80861.30813258832,100217.36937740377,123245.71115712391,30555.670255108325,206230.1386693961,4339.783272725541,7578.364308076889,9816.379077243433,3650.4453408029617,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,6,0,275077.34461816377,32854.00900925829,50038.66775367809,3981.025584969716
81845.38340243399,100292.65518936128,123254.2431333422,30551.467428670385,206924.6630918936,4772.112145389851,7574.738573367686,9811.671602296457,3647.9517981727363,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,7,0,275063.9489767594,32831.569266573926,50057.38939308525,3979.1184898615347
83143.84724614873,100374.03032676899,123264.12741017938,30546.99166630879,207656.44446276198,5342.559779783285,7571.116082771659,9806.962378906832,3645.302741112256,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,8,0,275050.13155536784,32807.731170610925,50077.77261078105,3977.211764879571
84680.69590505172,100457.30688994663,123274.53255491662,30542.152839743678,208391.3463811657,6017.735824257401,7567.545062369645,9802.311747479067,3642.4965994526387,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,9,0,275033.79822022776,32782.48107062413,50098.695734362664,3975.3302666135596
86379.86183205589,100538.32645058662,123284.92162497199,30537.02351973866,209093.24188001364,6764.2219033217925,7564.199371180475,9797.942845868693,3639.6020226162614,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,10,0,275014.2393208616,32756.43729142978,50119.11005900456,3973.5648623072075
88149.86744134955,100613.90043663334,123295.00149481268,30531.75731774048,209735.26216561333,7541.829626149149,7561.263698070288,9794.093535828219,3636.7120954823436,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,11,0,274991.7233672139,32730.43792794778,50138.23834631329,3972.0122634582685
89898.54841062032,100682.83913098721,123304.71133791503,30526.50470481219,210309.48553207467,8310.06890139579,7558.827450341523,9790.879556226359,3633.898779420251,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,12,0,274967.127671086,32705.130676852008,50155.801753454565,3970.719420794444
91524.72534209467,100746.20704059851,123313.97053272511,30521.271366356836,210830.6773291493,9024.489089647503,7556.749349153579,9788.11947827302,3631.1494716834964,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,13,0,274940.84643205284,32680.401792095443,50172.02000771028,3969.6124704890417
92999.97313137772,100807.2565085684,123322.88935935913,30515.99877517241,211332.13105910973,9672.602331779159,7554.75672497505,9785.46296815835,3628.4049710687937,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,14,0,274913.4639721205,32655.717845128318,50187.64373603234,3968.548816699581
94299.72076187625,100869.8660325508,123331.46465659188,30510.537060299703,211854.2704188483,10243.613965807606,7552.465592986882,9782.416267084704,3625.560402093524,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,15,0,274885.00449582096,32630.134158061286,50203.53758226836,3967.327559512155
95389.64161887145,100937.08169543142,123339.67850778578,30504.787689903485,212430.6049301667,10722.443451556106,7549.567133142591,9778.582994985209,3622.540082654053,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,16,0,274855.6364331269,32602.96878437831,50220.376957354434,3965.787288282113
95984.46889251782,101007.89435258713,123345.89553638131,30498.23769627167,213075.4517778006,10983.765946415533,7545.440672441364,9773.163187431917,3619.11610011577,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,17,0,274820.6610070505,32572.16960118844,50237.56918643312,3963.602853301959
95729.99632501202,101074.73558503392,123345.62005870532,30489.601739515798,213777.56165425727,10871.96978447048,7538.85352701971,9764.565032052622,3614.766790108824,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,18,0,274766.60709815234,32533.040514157554,50252.416009866545,3960.1278103106188
94889.48336743409,101134.20379266454,123339.64635699292,30479.567937524218,214507.58813925716,10502.71142533461,7530.483989260138,9753.668807673082,3609.8155111801566,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,19,0,274698.0412104409,32488.49133335187,50264.33714872304,3955.7188537121283
94073.22277269421,101187.7343382561,123332.03246513342,30469.796719189817,215230.77565961983,10144.107735619345,7521.969134482533,9742.59350042306,3604.992963278735,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,20,0,274629.5390694433,32445.098671780368,50274.564542612316,3951.2356143221723
93285.76739182246,101240.97036769017,123327.41588872933,30461.74326819056,215921.44158185695,9798.158896625439,7514.79129506366,9733.254982995615,3600.9250615332962,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,21,0,274575.6129495404,32408.49668775632,50285.39874484805,3947.455831408547
92548.61465184375,101292.7940840466,123325.4994882909,30455.264303462034,216558.35599052534,9474.309265584148,7508.930674019248,9725.626215982065,3597.570165876368,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,22,0,274534.8589292626,32378.31094338133,50296.5238708896,3944.3687922470735
91871.41956780745,101342.24318495938,123325.58719649073,30450.045831899555,217134.01143053043,9176.800532028474,7504.177440955282,9719.434261250124,3594.803171502495,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,23,0,274504.3644536971,32353.415757970353,50307.56910814444,3941.8640135191845
91128.9819693214,101391.05369634677,123320.72603774442,30442.453107463924,217792.14950894538,8850.629130497966,7497.327450952471,9710.520408081637,3590.9674848858954,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,2,0,0,274452.9289188457,32318.903647200605,50317.35927729569,3938.2564524896907
90410.9612564277,101438.4060207067,123316.36310521142,30435.293760483368,218428.94818880383,8535.184677347934,7490.837908658177,9702.07423262559,3587.3358796667994,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,2,1,0,274404.77496026136,32286.22807340457,50326.93559087722,3934.8384146355556
89707.17048589124,101484.1470103836,123311.62574423998,30428.14218243663,219057.1776231769,8225.991793692503,7484.342668597565,9693.620563554392,3583.7184026409627,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,2,2,0,274356.1554527831,32253.679651574632,50336.06787187072,3931.4173582531976
89007.03595512627,101527.98978116935,123305.54589081908,30420.54914323106,219691.30516644265,7918.405187592302,7477.446823251412,9684.647077369318,3579.9142304287047,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,2,3,0,274303.05727659515,32219.451152817746,50344.47465828968,3927.785656113224
