scenario,scenario2,day(d),hourOfDay,int1.cpt,int2.cpt,int3.cpt,int4.cpt,int5.cpt,int6.cpt,int7.cpt,int8.cpt,int9.cpt,int10.cpt,trunk.cpt,root.cpt,S1.cpb,S2.cpb,S3.cpb,S4.cpb,S5.cpb,S6.cpb,S7.cpb,S8.cpb,S9.cpb,S10.cpb,trunk.cpb,root.cpb,int1.j (mg/hour),int2.j (mg/hour),int3.j (mg/hour),int4.j (mg/hour),int5.j (mg/hour),int6.j (mg/hour),int7.j (mg/hour),int8.j (mg/hour),int9.j (mg/hour),int10.j (mg/hour),trunk.j (mg/hour),root.j (mg/hour),int1.CNS (mg),int2.CNS (mg),int3.CNS (mg),int4.CNS (mg),int5.CNS (mg),int6.CNS (mg),int7.CNS (mg),int8.CNS (mg),int9.CNS (mg),int10.CNS (mg),trunk.CNS (mg),root.CNS (mg),int1.CS (mg),int2.CS (mg),int3.CS (mg),int4.CS (mg),int5.CS (mg),int6.CS (mg),int7.CS (mg),int8.CS (mg),int9.CS (mg),int10.CS (mg),trunk.CS (mg),root.CS (mg),int1.biomass (mg),int2.biomass (mg),int3.biomass (mg),int4.biomass (mg),int5.biomass (mg),int6.biomass (mg),int7.biomass (mg),int8.biomass (mg),int9.biomass (mg),int10.biomass (mg),trunk.biomass (mg),root.biomass (mg),sourceLoading_b,SYNTHESIS_RATE,SYNTHESIS_RATE,KM_ROOTS,KM_BERRY,KM_RESERVES,KM_SECONDARY,HYDROLYSIS_RATE,S13.cpb,S14.cpb,S15.cpb,S16.cpb,S13.cpt,S14.cpt,S15.cpt,S16.cpt,C1.Cflux,C1.carbon_nonStructure,C1.carbon_structure,C2.Cflux,C2.carbon_nonStructure,C2.carbon_structure,C3.Cflux,C4.carbon_nonStructure,C5.carbon_structure,C6.Cflux,C7.carbon_nonStructure,C8.carbon_structure
1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9858.417021187768,3668.5358458620717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47375.8467329119,9178.372692027802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123268.35050032324,30591.06498164129,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,399.80711671440395,1921.363648483132,0.0,399.80711671440395,1921.3765367687822,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9848.651235888527,3664.8596086265275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47376.38961388933,9178.495707113734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123248.48666128695,30582.60404729647,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,399.41106645213904,1921.423969034377,0.0,399.41106650848405,1921.4489214275795,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9839.13412671797,3661.2744481589866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47376.949192383894,9178.621206907976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123229.19437099507,30574.365901585446,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,399.0251014070632,1921.486145307433,0.0,399.02510157563256,1921.5235329524671,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9829.387228379772,3657.605463474825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47377.49028547227,9178.743887984107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123209.36735910151,30565.921441675273,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,398.6298173923092,1921.546268044339,0.0,398.6298177192034,1921.5956802340668,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9818.937916348503,3653.67613180559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47378.02299611823,9178.866525409916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123188.00946934882,30556.85693945496,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,398.2060472584376,1921.6054597854697,0.0,398.20604779068844,1921.6667103207776,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9807.45676652603,3649.3244198739517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47379.055166592174,9179.079297479504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123165.50497004682,30547.001293802805,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,397.7404319803277,1921.7201494037809,0.0,397.7404329866217,1921.8043378576238,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9794.53542319946,3644.371850341278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47380.872714361416,9179.407151860642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123141.59015970654,30535.988919790412,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,397.2164121634373,1921.9221088634276,0.0,397.21641442701684,1922.0466892001718,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9779.6202909749,3638.6123482032667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47383.32271971333,9179.816134932038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123114.74338073915,30523.248261135486,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,396.61153906314166,1922.194351046549,0.0,396.6115440350072,1922.3733798077471,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9762.404163758085,3631.8960156540375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47386.5430263598,9180.30556068027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123084.59986875099,30508.420747572814,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,395.9133589613298,1922.552199478932,0.0,395.91336969621943,1922.8027979106098,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9742.933801094816,3624.1863522927265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47390.646440553224,9180.86162282431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123051.50328873312,30491.386588806537,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,395.1237786534289,1923.0081996401511,0.0,395.1238014880614,1923.349998083688,0.0,0.0,0.0,0.0,0.0,0.0
