day(d),hourOfDay),scenario,age(dd),age(days),cca (ppm),wind (m/s),soilNContent (g/m3),leafArea,incomingRadiation(umol/m2/s),Ta (degree),rh,soilWaterContent(kg/kg),leafNumber,totalBerryNum,Absorbed PAR(umol/plant/s),Co2 assimilation(umolco2/plant/s),carbonAssimilation(mg/plant/hour),waterFlux(mg/plant/s),WUE(mgC/mgH2o),waterFluxPotential(mg/s),phloemCconcentration(mgc/mgH2o),fraction_berryUnloading,fraction_fineRootUnloading,fraction_stemUnloading,fraction_leafLoading,fraction_stemLoading,leafLoading(mgC),woodLoading(mgC),internodeLoading(mgC),woodLeakage(mgC),internodeLeakage(mgC),fineRootUnloading(mgC),totalBerryUnloading(mgC),singleBerryActiveSucroseuptake(mgSucrose),singlePassiveUptake(mgSucrose),singleMassFlow(mgSucrose),sumBerryUnloadingSucrose(mgSucrose),maintenanceLeaf(mgC),maintenanceWood(mgC),maintenanceInternode(mgC),maintenanceRoot(mgC),sumMaintenanceBerry(mgC),sumGrowthCostBerry(mgC),growthCostRoot(mgC),NuptakeCostRoot(mgC),soilAvailableWater(kg),soilWaterPotential[MPa],rootConductance[mg/MPa/s],xylemWaterPotential[MPa],singleBerryFreshWeight[g],singleBerryDryWeight[g],sugarConcentration[g/gh20],waterUptake[g],respirationWater[g],transpirationLost[g],waterBalance[g],osmoticWaterPotential_fruit[MPa],turgorPressure_fruit[MPa],waterPotential_fruit[MPa],osmoticWaterPotential_phloem[MPa],turgorPressure_phloem[MPa],waterPotential_phloem[MPa],rootNitrogenUptake(mg),plantNitrogenCommonPool(mg),plantNitrogenContent(mg/mg),meanLeafNcontent(mg/mg),leafNDegradation(mg),leafNSynthesis(mg),wholePlantNitrogenAmount(mg),plantBiomass(g/plant),berryBiomass(g/plant),rootBiomass(g/plant),leafBiomass(gr/plant),internodeBiomass(g/plant),woodBiomass(g/plant),woodStructuralC(gr/plant),woodNonstructuralC(gr/plant),woodNonstructuralCcontent(mg/mg),berryLphloem(g/cm2/bar/h),Vmax_berry),inputWaterPotential,scenario2,rt.carbon_structure,rt.carbon_nonStructure,rt.fc_nstrTostr,sourceLoading_b,SYNTHESIS_RATE,SYNTHESIS_RATE,KM_ROOTS,KM_BERRY,KM_RESERVES,KM_SECONDARY,HYDROLYSIS_RATE,RootLoading,RootLeakage,fraction_fineRootLoading,stemLoading,stemUnloading,structuralRootLoading,fraction_structuralRootLoading,structuralRootUnloading,fraction_structuralRootUnloading
1,0,0,0.26134490966796875,0.0833333358168602,400.0,3.1111112,15.0,1.4359780820086598,0.0,16.272278,0.6,0.32999998,10,1560,0.0,0.0,0.0,2.132427547750475,0.0,2.15396719920065,0.062429868,0.78795505,0.004153398,0.11391104,0.78297096,0.08011665,201.22562,9.455624,7.2998514,0.0,0.0,1.0674343,202.50655,0.0,0.0,0.0,48.095306819752665,11.174693293869495,0.9046351313591003,1.0708621703088284,0.38120177388191223,0.0,631.8198091312297,0.13491487507927272,0.0,1.7405454,-0.01,9.495059,-0.23458734,133.84636167866995,20.32713436708773,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.9382459074,Infinity,1.8399620467968105,0.0,0.0,51110.937858175996,867353.7007931309,3.1710328106497094E7,30592.86007709861,81131.61974198568,100022.27151560252,123279.4444556513,47379.146605713795,9860.268141018973,0.2081140933811132,0.0,0.0023,-0.01,0,9178.690728887863,3668.9716705354617,0.39972712654847375,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.5186903,0.0,0.0136912605,20.590195,29.27544,31.668211,0.12322134,12.942379,0.050358932
1,1,0,0.4862678050994873,0.1666666716337204,400.0,2.074074,15.0,1.4359780820086598,0.0,15.3981495,0.65,0.3285445,10,1560,0.0,0.0,0.0,2.132427547750475,0.0,2.15396719920065,0.06285589,0.77102965,0.0041149114,0.11251168,0.7873037,0.07852112,191.89983,8.7891865,6.785346,0.0,0.0,1.0029814,187.93318,0.0,0.0,0.0,44.63413387776155,15.173734575510025,0.8665650486946106,1.0260033141821623,0.36508047580718994,0.021674545569112524,586.3509729353274,0.1253380743907164,0.0,1.7328687,-0.01,9.501013,-0.2344466,134.1343819483032,20.370875763176894,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.9382459074,Infinity,1.8399620467968105,0.0,0.0,51110.937858175996,868203.299639867,3.1778564681155127E7,30586.093642381198,81589.66648621466,100043.17283176909,123270.00905236749,47382.77123236839,9852.262597787008,0.2079292186071353,0.0,0.0023,-0.01,0,9179.108522349934,3665.7122706110345,0.3993538437513297,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.2704258,0.0,0.013417512,19.138977,27.42395,29.43383,0.1207576,12.1746235,0.04994858
1,2,0,0.6987678209940592,0.2500000074505806,400.0,1.037037,15.0,1.4359780820086598,0.0,15.1,0.7,0.3285445,10,1560,0.0,0.0,0.0,2.132427547750475,0.0,2.15396719920065,0.06650006,0.763149,0.004115926,0.11803735,0.7985679,0.07436644,194.1746,8.304,6.4107857,0.0,0.0,1.0008019,185.56238,0.0,0.0,0.0,44.0710684724428,15.2687668800354,0.853817343711853,1.0111005883663893,0.3596372604370117,0.04166774815530516,578.9540791333985,0.12581921559109885,0.0,1.7328687,-0.01,9.505582,-0.23433872,134.41876845591875,20.414065302884865,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.9382459074,Infinity,1.8399620467968105,0.0,0.0,51110.937858175996,868157.7539210735,3.1845940359899387E7,30579.763578253405,81147.66652264286,100066.80228343322,123262.11858857045,47386.582583690906,9844.78765492402,0.20775475077859512,0.0,0.0023,-0.01,0,9179.527919613836,3662.6345234355645,0.39900031412395814,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.0896533,0.0,0.012706594,18.082466,28.701199,27.806877,0.11435934,12.586209,0.051762395
1,3,0,0.9236907164255778,0.3333333432674408,400.0,0.1,15.0,1.4359780820086598,0.0,15.3981495,0.75,0.3285445,10,1560,0.0,0.0,0.0,2.132427547750475,0.0,2.15396719920065,0.06279486,0.7714463,0.0041080597,0.112243764,0.7878477,0.07832819,192.29546,8.779597,6.7779512,0.0,0.0,1.0026826,188.29225,0.0,0.0,0.0,44.719412201015174,15.187838152050972,0.8660203814506531,1.0257548373192549,0.364704966545105,0.06163810787256807,587.4712596635743,0.12527619880397659,0.0,1.7328687,-0.01,9.508454,-0.23427095,134.70733831518848,20.457890164689843,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.9382459074,Infinity,1.8399620467968105,0.0,0.0,51110.937858175996,868112.486863837,3.1914307141067903E7,30573.00729250924,80709.94247661057,100087.68207389815,123252.6936468364,47390.202420338894,9836.791759061442,0.20757015705085266,0.0,0.0023,-0.01,0,9179.945506820048,3659.3795918916107,0.3986275941586964,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.2663434,0.0,0.013382433,19.118107,27.396114,29.397089,0.12044189,12.163384,0.04983422
1,4,0,1.1850356260935464,0.416666679084301,400.0,0.5,15.0,1.4359780820086598,0.0,16.272278,0.80333334,0.3285445,10,1560,0.0,0.0,0.0,2.132427547750475,0.0,2.15396719920065,0.055929508,0.7859894,0.0040736343,0.10098906,0.7685138,0.08547051,192.204,9.816501,7.5784564,0.0,0.0,1.0188088,196.57457,0.0,0.0,0.0,46.686464400610376,15.691887438297272,0.9033393263816833,1.070158714428544,0.3803441524505615,0.08346649803570472,613.31208754221,0.12556067359956202,0.0,1.7328687,-0.01,9.509434,-0.23424785,135.0086009936496,20.503642674269223,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.9382459074,Infinity,1.8399620467968105,0.0,0.0,51110.937858175996,868066.0989023692,3.1985681052621663E7,30565.33297517076,80272.42139960386,100103.5398646972,123240.18347249823,47393.50210416525,9827.683523285017,0.20736352214877354,0.0,0.0023,-0.01,0,9180.364042278024,3655.738179002026,0.3982127682700138,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.6518312,0.0,0.014601584,21.37603,25.257187,32.866478,0.13141423,11.519621,0.046060383
1,5,0,1.5043195883433023,0.5000000149011612,400.0,1.0,15.0,1.4359780820086598,355.44278,17.662815,0.8566667,0.3285445,10,1560,138.5589446974495,5.841866803977744,0.07010240497741833,6.546985907150752,0.010707584523872436,6.5914998957308635,0.08195548,0.786155,0.0042049824,0.14811231,0.84993875,0.055408817,260.0052,7.784003,6.00934,0.0,0.0,1.2863487,240.49315,0.0,0.0,0.0,57.11712540168872,0.0,0.9667134284973145,1.1454329174011946,0.4069410264492035,0.12189521250547841,750.3378948109404,0.1718064126847083,0.0,1.7328687,-0.01,22.47914,-0.30126092,135.37717140971972,20.55961715334529,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.9382459074,Infinity,1.8399620467968105,0.0,0.0,51110.937858175996,868627.812065503,3.2073001235832836E7,30559.850071439676,80255.03889361373,100151.58555640682,123239.55104744351,47399.662760367755,9821.229228186236,0.20720040304586412,0.0,0.0023,-0.01,0,9180.936730157055,3652.8629115038307,0.3978747505693074,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,2.895522,0.0,0.0094652595,16.950138,45.309128,26.059698,0.08518733,18.783258,0.061401132
1,6,0,1.8991112709045408,0.5833333507180214,400.0,1.5,15.0,1.4359780820086598,1076.4646,19.475,0.91,0.3255314,10,1560,419.58369516442804,13.445974754659611,0.16135170471970967,14.406931396092437,0.011199588606597569,14.58875194643347,0.09089468,0.77104664,0.004145549,0.1597641,0.8903033,0.04050786,314.51688,6.5716567,5.0733986,0.0,0.0,1.4644954,272.38715,0.0,0.0,0.0,64.6919479424275,0.0,1.0558990240097046,1.2515077739953995,0.44438064098358154,0.17098564450861886,849.8470413026921,0.19866928489021293,0.0,1.7169763,-0.01,45.954933,-0.32353154,135.794620835285,20.623014846480206,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.9382459074,Infinity,1.8399620467968105,0.0,0.0,51110.937858175996,869935.694413807,3.2171901632425793E7,30555.670255108325,80861.30813258832,100217.36937740377,123245.71115712391,47407.37308864538,9816.379077243433,0.20706439605687774,0.0,0.0023,-0.01,0,9181.598960919733,3650.4453408029617,0.39758274744307626,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,2.4442317,0.0,0.00691889,14.3101845,56.43976,21.998087,0.06227001,22.935642,0.06492395
1,7,0,2.381833473841349,0.6666666865348816,400.0,1.0,15.0,1.4359780820086598,1770.7363,21.585333,0.81666666,0.32016662,10,1560,690.2388304224897,18.098122445380476,0.2171774796599419,34.89829605732981,0.006223154256676878,35.233815324963324,0.09361713,0.7659851,0.0041534575,0.16364804,0.8971784,0.037973028,349.51007,6.793377,5.2445703,0.0,0.0,1.6180459,298.40176,0.0,0.0,0.0,70.87042054019469,0.0,1.170270323753357,1.3876236137002707,0.4923943877220154,0.23436138813849539,931.01257772548,0.21856189757347125,0.0,1.6886804,-0.01,106.39205,-0.33808926,136.25193847674328,20.69246729202877,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.9382459074,Infinity,1.8399620467968105,0.0,0.0,51110.937858175996,871699.2350415279,3.22802474423354E7,30551.467428670385,81845.38340243399,100292.65518936128,123254.2431333422,47416.04201335006,9811.671602296457,0.2069272589123733,0.0,0.0023,-0.01,0,9182.327500373991,3647.9517981727363,0.39727964375308517,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,2.5262725,0.0,0.0064848405,14.792996,63.751717,22.736456,0.058363575,25.747639,0.06609313
1,8,0,2.9589168230692544,0.7500000223517418,400.0,0.5,15.0,1.4359780820086598,2391.789,23.85,0.72333336,0.30618036,10,1560,932.3799546521493,21.78297203314096,0.2613956768133194,57.34674081361774,0.004558160988832473,57.8073006631192,0.09563852,0.76088,0.0042207865,0.16735475,0.89680517,0.038115777,370.57684,7.2329326,5.5839148,0.0,0.0,1.7441081,314.40988,0.0,0.0,0.0,74.67234980025665,0.0,1.3068511486053467,1.5502709057182074,0.5497117638587952,0.316592765157111,980.9578713156695,0.23082988948629357,0.0,1.6149116,-0.01,172.35118,-0.3428523,136.7337883869094,20.765645432591388,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.9382459074,Infinity,1.8399620467968105,0.0,0.0,51110.937858175996,873822.829678227,3.2394405336190872E7,30546.99166630879,83143.84724614873,100374.03032676899,123264.12741017938,47425.34056810675,9806.962378906832,0.2067873896408443,0.0,0.0023,-0.01,0,9183.09693311504,3645.302741112256,0.39695788552192884,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,2.689184,0.0,0.0065078917,15.75016,69.15412,24.20266,0.058571037,27.858261,0.06741771
1,9,0,3.630361239115397,0.833333358168602,400.0,0.1,15.0,1.4359780820086598,2898.0552,26.114666,0.63,0.29085827,10,1560,1129.6558410313517,24.267419555620375,0.2912090484991315,77.71996233562783,0.0037469015648974075,78.23264215803847,0.09746333,0.75457174,0.0043582846,0.171725,0.8918029,0.03996969,373.1765,7.6807785,5.9296713,0.0,0.0,1.8237306,315.75165,0.0,0.0,0.0,74.99101957151167,0.0,1.4593803882598877,1.7320493794977665,0.6136852502822876,0.41851205052807927,985.1441815268677,0.23221394420185607,0.0,1.5340971,-0.01,232.0789,-0.34504908,137.21769305770405,20.83913562792235,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.9382459074,Infinity,1.8399620467968105,0.0,0.0,51110.937858175996,876188.0128972876,3.2509050035461847E7,30542.152839743678,84680.69590505172,100457.30688994663,123274.53255491662,47434.822373115356,9802.311747479067,0.20664801209490194,0.0,0.0023,-0.01,0,9183.870979378502,3642.4965994526387,0.3966188775551741,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,2.8549883,0.0,0.0068227416,16.725388,71.85858,25.694902,0.06140469,28.959032,0.06920523
